rule,d,n,p,mu_star,nD_star,nI_star,PoA,calc_time_sec
sv,4,3,0.65,0.5957894736842105,1,2,33.54269174,62.299829959869385
sv,4,3,0.7,0.6052631578947367,2,1,40.18097252045315,44.65651321411133
sv,4,3,0.75,0.6105263157894736,1,1,47.724098065744904,53.25494194030762
sv,4,3,0.7999999999999999,0.6157894736842104,1,1,56.24377520794113,70.23723292350769
sv,4,3,0.85,0.6210526315789473,1,2,65.81339839241228,61.84578990936279
sv,4,3,0.9,0.6263157894736842,1,2,76.50694326543955,67.50998401641846
sv,4,3,0.95,0.631578947,1,2,88.40435470949713,50.28243303
sv,4,3,1.0,0.6368421052631579,2,1,101.5868077920277,7.818339824676514
sv,4,5,0.05,0.1978947368421052,1,5,1.7804477085579289,472.8712639808655
sv,4,5,0.1,0.2863157894736842,2,5,2.586701072277905,436.42944598197937
sv,4,5,0.15,0.3378947368421052,3,5,3.469057044246015,244.93513703346252
sv,4,5,0.2,0.3789473684210526,1,5,4.443778780269113,201.98177099227905
sv,4,5,0.25,0.4094736842105263,2,5,5.520426875155142,234.5969738960266
sv,4,5,0.3,0.4873684210526315,2,2,6.883241515060847,219.62617802619937
sv,4,5,0.35,0.5126315789473684,1,2,9.000260773479138,232.3642950057983
sv,4,5,0.3999999999999999,0.5336842105263158,4,4,11.583694731251148,237.03822588920593
sv,4,5,0.4499999999999999,0.5494736842105263,1,2,14.69018519333692,228.79824686050415
sv,4,5,0.4999999999999999,0.5642105263157894,5,2,18.377537301745857,220.38330912590027
sv,4,5,0.5499999999999999,0.5747368421052631,4,5,22.707658841912316,288.34820675849915
sv,4,5,0.6,0.5905263157894737,4,4,27.74064333478564,270.46698689460754
sv,4,5,0.65,0.5957894736842105,1,2,33.54269174,317.3742470741272
sv,4,5,0.7,0.6052631578947367,2,1,40.18097252045315,293.3334767818451
sv,4,5,0.75,0.6105263157894736,1,1,47.724098065744904,329.6626601219177
sv,4,5,0.7999999999999999,0.6157894736842104,1,1,56.24377520794113,384.4563353061676
sv,4,5,0.85,0.6210526315789473,1,2,65.81339839241228,355.6224708557129
sv,4,5,0.9,0.6263157894736842,1,2,76.50694326543955,280.9019150733948
sv,4,5,0.95,0.631578947,1,2,88.40435470949713,223.79267239570615
sv,4,5,1.0,0.6368421052631579,2,1,101.5868077920277,32.53617811203003
sv,4,10,0.05,0.2336842105263157,5,10,1.9922610007473671,7661.105178833008
sv,4,10,0.1,0.2957894736842105,5,10,2.9191781419205354,5113.616209983826
sv,4,10,0.15,0.3431578947368421,9,10,3.8977048028567176,3368.0846621990204
sv,4,10,0.2,0.3789473684210526,4,10,4.942046461515764,2341.7028229236603
sv,4,10,0.25,0.4042105263157894,1,10,6.059293280594025,2278.392639875412
sv,4,10,0.3,0.4305263157894736,4,10,7.252921802078764,2409.2149591445923
sv,4,10,0.35,0.5126315789473684,9,1,9.000358007609547,2166.0754821300507
sv,4,10,0.3999999999999999,0.5336842105263158,4,4,11.583694731251148,2207.6406071186066
sv,4,10,0.4499999999999999,0.5494736842105263,1,2,14.69018519333692,2246.371216058731
sv,4,10,0.4999999999999999,0.5642105263157894,3,8,18.37755309760655,2175.5595610141754
sv,4,10,0.5499999999999999,0.58,1,4,22.70782648,2267.100759744644
sv,4,10,0.6,0.5852631578947368,9,1,27.74148104568307,2554.6272780895233
sv,4,10,0.65,0.5957894736842105,7,6,33.54315183256753,2684.9253199100494
sv,4,10,0.7,0.6052631578947367,9,1,40.18100387416843,2550.312315225601
sv,4,10,0.75,0.6105263157894736,1,1,47.724098065744904,2663.6759581565857
sv,4,10,0.7999999999999999,0.6157894736842104,1,1,56.24377520794113,2468.2577500343323
sv,4,10,0.85,0.6210526315789473,1,2,65.81339839241228,1998.5752902030945
sv,4,10,0.9,0.6263157894736842,1,2,76.50694326543955,1802.8568649291992
sv,4,10,0.95,0.631578947,1,8,88.40494010316836,1228.4225013256073
sv,4,10,1.0,0.6368421052631579,9,8,101.58764768524024,195.33600902557373
sv,5,3,0.05,0.2863157894736842,2,3,2.470200681193809,149.0774540901184
sv,5,3,0.1,0.3842105263157894,1,3,4.358197602381058,172.27052116394043
sv,5,3,0.15,0.4978947368421053,1,3,7.766936214031871,124.78080201148988
sv,5,3,0.2,0.5494736842105263,2,3,13.393219076949542,120.42158102989195
sv,5,3,0.25,0.58,2,2,21.671873434625898,149.11103796958923
sv,5,3,0.3,0.6010526315789474,2,1,33.270029142355156,183.7308430671692
sv,5,3,0.35,0.6210526315789473,2,1,48.92813713072863,172.4703459739685
sv,5,3,0.3999999999999999,0.631578947,2,1,69.45964866329972,143.36638808250427
sv,5,3,0.4499999999999999,0.6421052631578947,2,3,95.77003831759994,192.12692189216617
sv,5,3,0.4999999999999999,0.6526315789473685,1,3,128.83703628393732,207.22715306282043
sv,5,3,0.5499999999999999,0.6621052631578946,1,1,169.73760854802023,243.85610914230347
sv,5,3,0.6,0.6673684210526315,2,3,219.6515462606232,201.83308792114255
sv,5,3,0.65,0.6726315789473684,1,2,279.8336088764561,221.3486409187317
sv,5,3,0.7,0.6778947368421052,1,3,351.6719490760212,225.95103812217712
sv,5,3,0.75,0.6831578947368421,2,1,436.62709080848265,222.0563681125641
sv,5,3,0.7999999999999999,0.6884210526315789,3,2,536.2882126270944,249.06571197509768
sv,5,3,0.85,0.6936842105263158,1,1,652.3589607098817,207.9284942150116
sv,5,3,0.9,0.6989473684210527,2,2,786.7052209862777,165.14979887008667
sv,5,3,0.95,0.6989473684210527,1,3,941.1563251742324,121.53403615951538
sv,5,3,1.0,0.7042105263157895,3,1,1117.8834398515048,24.8450391292572
sv,5,5,0.05,0.29,1,5,2.6937321816387896,1377.7673428058624
sv,5,5,0.1,0.3784210526315789,2,5,4.702784120870095,1204.5942358970642
sv,5,5,0.15,0.4978947368421053,5,4,7.76683908987638,649.4723291397095
sv,5,5,0.2,0.5499999999999999,1,1,13.393685380125572,538.5828957557678
sv,5,5,0.25,0.5815789473684211,1,3,21.672129085551138,565.209273815155
sv,5,5,0.3,0.6021052631578947,1,4,33.26977479023262,557.280846118927
sv,5,5,0.35,0.6178947368421053,1,3,48.92819450572689,525.2453179359436
sv,5,5,0.3999999999999999,0.6336842105263158,3,4,69.4637020591557,573.1421818733215
sv,5,5,0.4499999999999999,0.6436842105263156,1,1,95.7710371067618,601.3678369522095
sv,5,5,0.4999999999999999,0.6542105263157894,5,2,128.83859943079705,550.2980990409851
sv,5,5,0.5499999999999999,0.6594736842105262,2,4,169.74060910894136,687.1157631874084
